,author_id,keyword_list,morphs_list
0,@00books,"['블루', '농민', '도쿄']","['블루', '농민', '도쿄']"
2,@01026856762,"['부모교육', '학교폭력', '가정', '자립', '행복', '아들러', '부모교육', '생각', '교육', '스트레스', '걱정', '시간', '음식', '입맛', '엄마']","['부모', '교육', '학교', '폭력', '가정', '자리', '행복', '아들러', '부모', '교육', '생각', '교육', '스트레스', '걱정', '시간', '음식', '입맛', '엄마']"
3,@01038273527,"['신용카드', '재테크', '부자', '치즈', '요리법', '즉석요리', '연금보험', '연금', '국민연금', '대기업', '초등교사', '보험', '비전', '자기관리', '꿈', '영화', '다크나이트', '배트맨', '요리', '갈비', '요리방법', '자존감', '취업', '희망', '행복', '직장', '직업', '연금보험', '보험', '보험료', '치매', '노후', '질병', '취업', '직장', '입사', '요리', '요리법', '저녁식사']","['신용', '카드', '재테크', '부자', '치즈', '요리법', '즉석', '요리', '연금', '보험', '연금', '국민', '연금', '대기업', '초등', '교사', '보험', '비전', '자기관리', '꿈', '영화', '다', '크', '나', '이', '트', '배트', '맨', '요리', '갈비', '요리', '방법', '자존', '감', '취업', '희망', '행복', '직장', '직업', '연금', '보험', '보험', '보험료', '치매', '노후', '질병', '취업', '직장', '입사', '요리', '요리법', '저녁', '식사']"
4,@01archive,"['영화', '사랑', '감정', '영화', '나나미', '배우', '영화', '사랑', '영화', '계곡']","['영화', '사랑', '감정', '영화', '나', '아', '나미', '배우', '영화', '사랑', '영화', '계곡']"
5,@02jsh0314,"['영어', '유치원', '학원', '졸업', '어학원', '수업', '영어유치원', '영어', '교실', '영어유치원', '영어', '유치원']","['영어', '유치원', '학원', '졸업', '어학원', '수업', '영어', '유치원', '영어', '교실', '영어', '유치원', '영어', '유치원']"
6,@0315hhj,"['제주', '욕심', '공감에세이']","['제주', '욕심', '공감', '에', '세', '이']"
7,@0327,"['여행', '동네책방', '교토', '영화', '리뷰', '죄책감', '일본', '일본어', '여행', '커피', '여행', '카페', '자전거', '여행', '일본', '여행', '교토', '오사카']","['여행', '동네', '책방', '교', '토', '영화', '리뷰', '죄책감', '일본', '일본어', '여행', '커피', '여행', '카페', '자전거', '여행', '일본', '여행', '교', '토', '오사카']"
8,@036xc,"['에세이', '영어', '정체성']","['에세이', '영어', '정체성']"
9,@0619ab,"['퇴사', '백수', '회사', '퇴사', '도전', '용기']","['퇴사', '백수', '회사', '퇴사', '도전', '용기']"
10,@0623soheedrjb,"['일요일', '도자기', '취미', '도자기', '도예', '일요일']","['일요일', '도자기', '취미', '도자기', '도예', '일요일']"
11,@0717sb,"['독서', '리뷰', '문학', '독서기록', '독서', '리뷰', '독서', '리뷰', '책']","['독서', '리뷰', '문학', '독서', '기록', '독서', '리뷰', '독서', '리뷰', '책']"
