,author_id,keyword_list,morphs_list
0,@01026856762,"['부모교육', '학교폭력', '가정', '자립', '행복', '아들러', '부모교육', '생각', '교육', '스트레스', '걱정', '시간']","['부모', '교육', '학교', '폭력', '가정', '자리', '행복', '아들러', '부모', '교육', '생각', '교육', '스트레스', '걱정', '시간']"
1,@01038273527,"['신용카드', '재테크', '부자', '비전', '자기관리', '꿈', '요리', '갈비', '요리방법', '자존감', '취업', '희망', '행복', '직장', '직업', '연금보험', '보험', '보험료', '치매', '노후', '질병', '취업', '직장', '입사', '요리', '요리법', '저녁식사']","['신용', '카드', '재테크', '부자', '비전', '자기관리', '꿈', '요리', '갈비', '요리', '방법', '자존', '감', '취업', '희망', '행복', '직장', '직업', '연금', '보험', '보험', '보험료', '치매', '노후', '질병', '취업', '직장', '입사', '요리', '요리법', '저녁', '식사']"
2,@01archive,"['영화', '나나미', '배우', '영화', '사랑', '영화', '계곡']","['영화', '나', '아', '나미', '배우', '영화', '사랑', '영화', '계곡']"
3,@02jsh0314,"['영어', '유치원', '학원', '영어유치원', '영어', '교실', '영어유치원', '영어', '유치원']","['영어', '유치원', '학원', '영어', '유치원', '영어', '교실', '영어', '유치원', '영어', '유치원']"
4,@0315hhj,"['제주', '욕심', '공감에세이']","['제주', '욕심', '공감', '에', '세', '이']"
5,@0327,"['여행', '동네책방', '교토', '일본', '일본어', '여행', '커피', '여행', '카페', '자전거', '여행', '일본', '여행', '교토', '오사카']","['여행', '동네', '책방', '교', '토', '일본', '일본어', '여행', '커피', '여행', '카페', '자전거', '여행', '일본', '여행', '교', '토', '오사카']"
6,@0619ab,"['퇴사', '백수', '회사', '퇴사', '도전', '용기']","['퇴사', '백수', '회사', '퇴사', '도전', '용기']"
7,@0623soheedrjb,"['일요일', '도자기', '취미', '도자기', '도예', '일요일']","['일요일', '도자기', '취미', '도자기', '도예', '일요일']"
8,@0717sb,"['독서', '리뷰', '문학', '독서기록', '독서', '리뷰', '독서', '리뷰', '책']","['독서', '리뷰', '문학', '독서', '기록', '독서', '리뷰', '독서', '리뷰', '책']"
9,@0haena0,"['자유부인', '엄마']","['자유', '부인', '엄마']"
10,@0min9845,"['개츠비', '사랑', '위대한개츠비', '소비자', '가치', '인사이트', '사랑', '이기주', '인간관계', '브랜드', '마케팅', '전략', '아빠', '엄마', '사랑', '엄마', '자식', '사랑']","['개', '츠', '비', '사랑', '위대', '하', 'ㄴ', '개', '츠', '비', '소비자', '가치', '인', '사이트', '사랑', '이기', '주', '인간관계', '브랜드', '마케팅', '전략', '아빠', '엄마', '사랑', '엄마', '자식', '사랑']"
